+-------+------+---+---+-----------+---------+------------------+
|key    |numSum|_1 |_2 |Denominator|Numerator|Count of Numerator|
+-------+------+---+---+-----------+---------+------------------+
|[0,0]  |0     |0  |0  |0          |0        |0                 |
|[1,1]  |1381  |1  |1  |1          |1        |1381              |
|[2,1]  |176   |2  |1  |2          |1        |176               |
|[2,2]  |964   |2  |2  |2          |2        |964               |
|[3,1]  |32    |3  |1  |3          |1        |32                |
|[3,2]  |22    |3  |2  |3          |2        |22                |
|[3,3]  |903   |3  |3  |3          |3        |903               |
|[4,1]  |6     |4  |1  |4          |1        |6                 |
|[4,2]  |22    |4  |2  |4          |2        |22                |
|[4,3]  |27    |4  |3  |4          |3        |27                |
|[4,4]  |884   |4  |4  |4          |4        |884               |
|[5,1]  |2     |5  |1  |5          |1        |2                 |
|[5,3]  |15    |5  |3  |5          |3        |15                |
|[5,4]  |8     |5  |4  |5          |4        |8                 |
|[5,5]  |975   |5  |5  |5          |5        |975               |
|[6,2]  |12    |6  |2  |6          |2        |12                |
|[6,3]  |6     |6  |3  |6          |3        |6                 |
|[6,4]  |12    |6  |4  |6          |4        |12                |
|[6,5]  |5     |6  |5  |6          |5        |5                 |
|[6,6]  |648   |6  |6  |6          |6        |648               |
|[7,2]  |2     |7  |2  |7          |2        |2                 |
|[7,4]  |20    |7  |4  |7          |4        |20                |
|[7,5]  |15    |7  |5  |7          |5        |15                |
|[7,6]  |24    |7  |6  |7          |6        |24                |
|[7,7]  |861   |7  |7  |7          |7        |861               |
|[8,4]  |12    |8  |4  |8          |4        |12                |
|[8,5]  |5     |8  |5  |8          |5        |5                 |
|[8,7]  |42    |8  |7  |8          |7        |42                |
|[8,8]  |480   |8  |8  |8          |8        |480               |
|[9,3]  |18    |9  |3  |9          |3        |18                |
|[9,5]  |15    |9  |5  |9          |5        |15                |
|[9,7]  |7     |9  |7  |9          |7        |7                 |
|[9,8]  |16    |9  |8  |9          |8        |16                |
|[9,9]  |450   |9  |9  |9          |9        |450               |
|[10,2] |2     |10 |2  |10         |2        |2                 |
|[10,5] |15    |10 |5  |10         |5        |15                |
|[10,6] |6     |10 |6  |10         |6        |6                 |
|[10,7] |7     |10 |7  |10         |7        |7                 |
|[10,8] |16    |10 |8  |10         |8        |16                |
|[10,9] |18    |10 |9  |10         |9        |18                |
|[10,10]|340   |10 |10 |10         |10       |340               |
|[11,3] |3     |11 |3  |11         |3        |3                 |
|[11,6] |6     |11 |6  |11         |6        |6                 |
|[11,9] |27    |11 |9  |11         |9        |27                |
|[11,11]|363   |11 |11 |11         |11       |363               |
|[12,4] |12    |12 |4  |12         |4        |12                |
|[12,6] |18    |12 |6  |12         |6        |18                |
|[12,9] |9     |12 |9  |12         |9        |9                 |
|[12,11]|22    |12 |11 |12         |11       |22                |
|[12,12]|228   |12 |12 |12         |12       |228               |
|[13,6] |6     |13 |6  |13         |6        |6                 |
|[13,11]|11    |13 |11 |13         |11       |11                |
|[13,13]|299   |13 |13 |13         |13       |299               |
|[14,7] |35    |14 |7  |14         |7        |35                |
|[14,10]|20    |14 |10 |14         |10       |20                |
|[14,11]|11    |14 |11 |14         |11       |11                |
|[14,12]|12    |14 |12 |14         |12       |12                |
|[14,13]|39    |14 |13 |14         |13       |39                |
|[14,14]|266   |14 |14 |14         |14       |266               |
|[15,13]|13    |15 |13 |15         |13       |13                |
|[15,14]|14    |15 |14 |15         |14       |14                |
|[15,15]|240   |15 |15 |15         |15       |240               |
|[16,8] |24    |16 |8  |16         |8        |24                |
|[16,9] |9     |16 |9  |16         |9        |9                 |
|[16,11]|11    |16 |11 |16         |11       |11                |
|[16,16]|96    |16 |16 |16         |16       |96                |
|[17,12]|12    |17 |12 |17         |12       |12                |
|[17,15]|15    |17 |15 |17         |15       |15                |
|[17,16]|16    |17 |16 |17         |16       |16                |
|[17,17]|170   |17 |17 |17         |17       |170               |
|[18,9] |27    |18 |9  |18         |9        |27                |
|[18,16]|16    |18 |16 |18         |16       |16                |
|[18,17]|34    |18 |17 |18         |17       |34                |
|[18,18]|108   |18 |18 |18         |18       |108               |
|[19,13]|13    |19 |13 |19         |13       |13                |
|[19,16]|32    |19 |16 |19         |16       |32                |
|[19,17]|17    |19 |17 |19         |17       |17                |
|[19,19]|95    |19 |19 |19         |19       |95                |
|[20,10]|20    |20 |10 |20         |10       |20                |
|[20,16]|16    |20 |16 |20         |16       |16                |
|[20,19]|19    |20 |19 |20         |19       |19                |
|[20,20]|100   |20 |20 |20         |20       |100               |
|[21,14]|28    |21 |14 |21         |14       |28                |
|[21,17]|17    |21 |17 |21         |17       |17                |
|[21,21]|42    |21 |21 |21         |21       |42                |
|[22,11]|11    |22 |11 |22         |11       |11                |
|[22,17]|17    |22 |17 |22         |17       |17                |
|[22,21]|21    |22 |21 |22         |21       |21                |
|[23,15]|15    |23 |15 |23         |15       |15                |
|[23,18]|18    |23 |18 |23         |18       |18                |
|[23,21]|21    |23 |21 |23         |21       |21                |
|[23,23]|46    |23 |23 |23         |23       |46                |
|[24,24]|48    |24 |24 |24         |24       |48                |
|[25,25]|50    |25 |25 |25         |25       |50                |
|[26,22]|22    |26 |22 |26         |22       |22                |
|[28,23]|23    |28 |23 |28         |23       |23                |
|[29,29]|29    |29 |29 |29         |29       |29                |
|[30,30]|60    |30 |30 |30         |30       |60                |
|[31,29]|29    |31 |29 |31         |29       |29                |
|[32,19]|19    |32 |19 |32         |19       |19                |
|[35,35]|35    |35 |35 |35         |35       |35                |
+-------+------+---+---+-----------+---------+------------------+
